City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Chandler,US,33.3062,-111.8412,59.45,12,0,1.01,clear sky
95,Puro,PH,12.4841,123.3827,76.33,89,98,11.65,overcast clouds
96,Airai,TL,-8.9266,125.4092,60.71,94,100,2.19,overcast clouds
97,Samana,DO,19.2056,-69.3369,73.36,84,95,5.59,overcast clouds
98,Taltal,CL,-25.4,-70.4833,70.25,63,19,6.78,few clouds
99,Cherskiy,RU,68.75,161.3,-31.43,100,8,4.74,clear sky
100,Lorengau,PG,-2.0226,147.2712,79.39,82,100,5.03,overcast clouds
101,Saint-Philippe,RE,-21.3585,55.7679,80.15,96,100,35.48,very heavy rain
102,Togur,RU,58.3631,82.8265,9.1,96,93,7.29,overcast clouds
103,Bubaque,GW,11.2833,-15.8333,77.68,75,0,14.88,clear sky
104,Abu Samrah,SY,35.3029,37.1841,47.23,69,35,4.41,scattered clouds
105,Caravelas,BR,-17.7125,-39.2481,77.88,81,92,6.33,overcast clouds
106,Tuatapere,NZ,-46.1333,167.6833,53.82,94,100,3.4,moderate rain
107,Nishihara,JP,26.1842,127.7558,60.08,88,75,6.91,broken clouds
108,Caucasia,CO,7.9865,-75.1935,88.57,56,62,4.41,broken clouds
109,Marawi,PH,7.9986,124.2928,66.65,92,98,1.12,overcast clouds
110,Mount Pleasant,US,32.7941,-79.8626,73.54,71,0,1.01,clear sky
111,Arraial Do Cabo,BR,-22.9661,-42.0278,75.52,90,100,13.11,overcast clouds
112,Sur,OM,22.5667,59.5289,68.86,49,0,7.9,clear sky
113,Isiro,CD,2.7739,27.616,71.58,39,99,2.35,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,13.84,73,20,3.44,few clouds
115,Ilebo,CD,-4.3167,20.5833,67.68,97,100,1.86,overcast clouds
116,Morondava,MG,-20.2833,44.2833,80.96,82,8,8.03,clear sky
117,Port Blair,IN,11.6667,92.75,73.76,81,7,8.21,clear sky
118,Clyde River,CA,70.4692,-68.5914,-9.65,98,100,11.12,light snow
119,Talnakh,RU,69.4865,88.3972,-12.98,99,98,7.11,overcast clouds
120,Afyonkarahisar,TR,38.75,30.6667,28.26,96,100,8.48,light snow
121,Mar Del Plata,AR,-38.0023,-57.5575,73.42,88,40,7.0,scattered clouds
122,Adrar,MR,20.5022,-10.0711,65.48,15,1,10.47,clear sky
123,Mlandizi,TZ,-6.7,38.7333,75.06,95,81,2.44,broken clouds
124,Vardo,NO,70.3705,31.1107,23.2,63,100,13.04,light snow
125,Lucapa,AO,-8.4192,20.7447,63.79,99,100,2.28,overcast clouds
126,Busselton,AU,-33.65,115.3333,78.04,40,38,8.66,scattered clouds
127,Joao Pinheiro,BR,-17.7425,-46.1725,73.33,82,99,4.63,moderate rain
128,Butaritari,KI,3.0707,172.7902,81.61,75,20,14.36,light rain
129,Cabo San Lucas,MX,22.8909,-109.9124,73.94,62,75,4.14,broken clouds
130,Seoul,KR,37.5683,126.9778,22.51,55,42,6.55,scattered clouds
131,Ixtapa,MX,20.7,-105.2,74.43,64,75,10.36,broken clouds
132,Kundiawa,PG,-6.0167,144.9667,64.96,89,85,3.36,overcast clouds
133,Georgetown,MY,5.4112,100.3354,79.9,83,20,0.0,few clouds
134,Ponta Do Sol,PT,32.6667,-17.1,67.01,75,41,3.91,scattered clouds
135,Vao,NC,-22.6667,167.4833,79.43,86,86,16.82,light rain
136,Srednekolymsk,RU,67.45,153.6833,-38.0,100,45,0.47,scattered clouds
137,Buritizeiro,BR,-17.3511,-44.9622,75.29,85,99,1.68,overcast clouds
138,Saint-Pierre,RE,-21.3393,55.4781,80.24,95,100,23.62,very heavy rain
139,Murud,IN,18.3258,72.965,69.1,78,33,1.86,scattered clouds
140,Aksarka,RU,66.5606,67.7975,-14.4,100,99,1.88,overcast clouds
141,Choma,ZM,-16.8065,26.9531,64.18,93,55,3.06,broken clouds
142,Kruisfontein,ZA,-34.0033,24.7314,64.89,76,61,11.27,broken clouds
143,Talaya,RU,61.3833,152.75,-26.07,100,77,2.68,broken clouds
144,Antofagasta,CL,-23.65,-70.4,73.22,59,6,11.21,clear sky
145,Liuhe,CN,42.2401,125.7172,-2.16,95,15,5.44,few clouds
146,Bilma,NE,18.6853,12.9164,57.79,22,0,16.58,clear sky
147,Khani,GE,41.9563,42.9566,36.97,73,69,8.37,broken clouds
148,Severo-Kurilsk,RU,50.6789,156.125,30.2,85,100,7.99,overcast clouds
149,Chapais,CA,49.7834,-74.8492,-13.7,93,100,2.42,overcast clouds
150,Poronaysk,RU,49.2167,143.1167,7.83,85,99,7.92,overcast clouds
151,Manga,BF,11.6636,-1.0731,74.82,9,0,7.92,clear sky
152,Visnes,NO,59.3556,5.2242,47.57,87,75,26.46,broken clouds
153,Avarua,CK,-21.2078,-159.775,82.45,78,20,18.41,few clouds
154,Den Helder,NL,52.9599,4.7593,46.38,93,100,14.0,overcast clouds
155,Kondopoga,RU,62.2057,34.2614,-4.31,100,98,1.92,overcast clouds
156,Pafos,CY,34.7667,32.4167,51.58,87,75,6.91,thunderstorm with rain
157,Acapulco,MX,16.8634,-99.8901,84.02,65,20,4.61,few clouds
158,Noumea,NC,-22.2763,166.4572,78.78,78,98,2.62,light rain
159,Nara,JP,34.6851,135.8049,35.49,62,80,3.94,broken clouds
160,Neiafu,TO,-18.65,-173.9833,81.28,89,75,9.22,light intensity shower rain
161,Viedma,AR,-40.8135,-62.9967,82.22,28,3,11.36,clear sky
162,Bambanglipuro,ID,-7.95,110.2833,61.61,89,86,4.41,light rain
163,Mawlaik,MM,23.6333,94.4167,53.55,82,3,2.55,clear sky
164,Manono,CD,-7.3,27.4167,69.28,97,100,3.0,moderate rain
165,Sabha,LY,27.0377,14.4283,50.36,49,0,6.69,clear sky
166,Salalah,OM,17.0151,54.0924,71.69,73,0,3.44,clear sky
167,Necochea,AR,-38.5473,-58.7368,72.03,73,100,11.05,overcast clouds
168,Kahului,US,20.8947,-156.47,83.46,58,20,12.66,few clouds
169,Kutum,SD,14.2,24.6667,61.75,13,50,16.58,scattered clouds
170,Hobyo,SO,5.3505,48.5268,76.24,73,30,18.59,scattered clouds
171,San Quintin,MX,30.4833,-115.95,60.96,46,2,9.15,clear sky
172,New Norfolk,AU,-42.7826,147.0587,59.76,67,13,1.01,few clouds
173,Xuddur,SO,4.1213,43.8894,76.28,29,100,11.9,overcast clouds
174,Esperance,AU,-33.8667,121.9,62.55,79,0,15.88,clear sky
175,Gubin,PL,51.9496,14.7284,43.14,92,100,9.08,overcast clouds
176,Mount Gambier,AU,-37.8333,140.7667,59.85,61,77,8.9,broken clouds
177,Nicoya,CR,10.1483,-85.452,89.15,42,1,7.18,clear sky
178,Berlevag,NO,70.8578,29.0864,17.55,79,20,9.22,few clouds
179,Cheney,US,47.4874,-117.5758,32.77,85,100,5.75,light snow
180,Lazaro Cardenas,MX,17.9583,-102.2,80.51,57,0,9.91,clear sky
181,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,100,2.24,overcast clouds
182,Wollongong,AU,-34.4333,150.8833,67.8,83,77,11.52,moderate rain
183,Valparaiso,CL,-33.0393,-71.6273,71.83,58,0,10.36,clear sky
184,Tabas,IR,33.5959,56.9244,49.1,30,100,3.11,overcast clouds
185,North Myrtle Beach,US,33.816,-78.68,69.22,92,100,10.36,mist
186,College,US,64.8569,-147.8028,1.06,65,75,5.75,broken clouds
187,Sao Filipe,CV,14.8961,-24.4956,73.87,73,0,8.37,clear sky
188,San Juan De Colon,VE,8.0313,-72.2605,80.19,54,88,3.38,overcast clouds
189,Grong,NO,64.4654,12.3149,24.22,94,100,9.62,light snow
190,Tungor,RU,53.3808,142.9564,1.74,94,100,23.11,light snow
