City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Springbok,ZA,65.59,clear sky,-29.6643,17.8865,Undulata Country Lodge
215,Bonthe,SL,77.86,clear sky,7.5264,-12.505,Bonthe Holiday Village
217,Kokoda,PG,79.95,overcast clouds,-8.8785,147.7407,Daito Guest House
220,Northam,GB,51.03,overcast clouds,51.0333,-4.2167,Durrant House Hotel
221,Malgrat De Mar,ES,57.06,overcast clouds,41.6466,2.7414,AQUA Hotel Aquamarina & Spa
222,Sola,VU,76.89,moderate rain,-13.8833,167.55,Leumerus Bungalows
225,Boyolangu,ID,75.72,moderate rain,-8.1181,111.8935,Yos ega cv
227,Holme,DK,44.17,overcast clouds,56.1138,10.1725,Hotel Ritz Aarhus City
229,Chiang Klang,TH,65.16,clear sky,19.2938,100.8617,Sangthong Resort
230,Gachala,CO,76.75,overcast clouds,4.6924,-73.5204,CABAÑAS EL JAZMIN
231,Jizan,SA,80.37,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
233,Kashan,IR,48.52,overcast clouds,33.9831,51.4364,Manouchehri Traditional House
235,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
236,Bandarbeyla,SO,74.16,clear sky,9.4942,50.8122,JABIR HOTEL
237,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
240,Carbonia,IT,49.01,scattered clouds,39.1672,8.5222,Lu 'Hotel
241,Ormara,PK,68.0,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
243,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
244,Geraldton,AU,83.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
245,Najran,SA,61.02,few clouds,17.4924,44.1277,محمد هادي ال فطيح
248,Brotas,BR,71.19,moderate rain,-22.2842,-48.1267,Site Water Wheel
249,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
250,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
251,Ribeira Grande,PT,58.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
253,Chhatak,BD,61.9,broken clouds,25.0333,91.6667,Hotel Sadi Internationl
255,Sabang,ID,81.7,scattered clouds,5.8933,95.3214,Hotel Citra
256,Flic En Flac,MU,80.53,moderate rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
257,Brigantine,US,48.4,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
259,Dingle,PH,74.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
261,Porgera,PG,44.28,overcast clouds,-5.4667,143.2,
262,Sinnamary,GF,76.64,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
263,Bukama,CD,68.94,light rain,-9.2,25.85,
264,Belawan,ID,77.29,heavy intensity rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
265,Kampene,CD,67.05,overcast clouds,-3.6,26.6667,
266,West Bay,KY,81.07,clear sky,19.3667,-81.4167,Calypso Cove
269,Labuhan,ID,76.14,overcast clouds,-6.8844,112.2051,DoubleFAG
270,Jalu,LY,54.05,scattered clouds,29.0331,21.5482,صاحبة الفخامة
271,Kelo,TD,72.91,scattered clouds,9.3086,15.8066,Plantation de Kelo
272,Hervey Bay,AU,76.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
273,Port Lincoln,AU,63.64,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
274,Linhares,BR,75.11,overcast clouds,-19.3911,-40.0722,Hotel Conceição
275,Naze,JP,54.52,overcast clouds,28.3667,129.4833,Shishime Hotel
276,East London,ZA,71.15,light rain,-33.0153,27.9116,Tu Casa
277,Vila Franca Do Campo,PT,61.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
278,Bandar-E Lengeh,IR,67.82,clear sky,26.5579,54.8807,کافی نت پارس
279,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
