City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Kottapalli,IN,2022-02-02 03:03:09,18.4833,79.1,70.16,35,5,2.98
227,Vila Velha,BR,2022-02-02 03:03:07,-20.3297,-40.2925,73.94,95,100,1.01
228,Copperas Cove,US,2022-02-02 03:03:10,31.1241,-97.9031,56.46,90,0,0.0
229,Airai,TL,2022-02-02 03:04:10,-8.9266,125.4092,73.67,55,69,5.93
230,Islamkot,PK,2022-02-02 03:04:10,24.6997,70.177,67.37,66,14,9.71
231,Maues,BR,2022-02-02 03:04:11,-3.3836,-57.7186,73.6,96,40,1.3
232,Lodwar,KE,2022-02-02 03:04:11,3.1191,35.5973,82.87,42,100,9.71
233,Port Moresby,PG,2022-02-02 03:04:11,-9.4431,147.1797,74.62,88,100,11.5
234,Kuching,MY,2022-02-02 03:01:07,1.55,110.3333,82.62,83,20,4.61
235,Dharchula,IN,2022-02-02 03:04:12,29.85,80.5333,52.09,32,0,2.62
236,Ambon,ID,2022-02-02 03:04:12,-3.6954,128.1814,91.54,52,40,9.22
237,Khorinsk,RU,2022-02-02 03:04:13,52.1657,109.7726,-7.89,90,42,1.92
238,Bambous Virieux,MU,2022-02-02 03:02:21,-20.3428,57.7575,81.21,91,100,31.25
239,Gongzhuling,CN,2022-02-02 03:04:13,43.5008,124.8198,11.34,46,1,13.29
240,Yulara,AU,2022-02-02 03:04:13,-25.2406,130.9889,69.64,88,100,16.11
241,Kuito,AO,2022-02-02 03:04:14,-12.3833,16.9333,60.89,65,100,3.74
242,Maragogi,BR,2022-02-02 03:03:15,-9.0122,-35.2225,78.01,81,8,5.19
243,Poum,NC,2022-02-02 03:01:44,-20.2333,164.0167,80.83,73,63,11.86
244,Jalu,LY,2022-02-02 03:04:14,29.0331,21.5482,52.14,41,22,7.92
245,Champerico,GT,2022-02-02 03:04:15,14.3,-91.9167,80.35,69,0,8.19
246,Peniche,PT,2022-02-02 03:04:15,39.3558,-9.3811,52.93,71,0,10.33
247,Acapulco,MX,2022-02-02 03:00:23,16.8634,-99.8901,76.19,73,15,7.56
248,Kokopo,PG,2022-02-02 03:04:16,-4.352,152.2633,83.39,70,100,12.82
249,Rochester,US,2022-02-02 03:01:58,43.1548,-77.6156,37.35,59,100,5.99
250,Ostrovnoy,RU,2022-02-02 03:04:16,68.0531,39.5131,19.58,91,100,11.56
251,Presidencia Roque Saenz Pena,AR,2022-02-02 03:04:17,-26.7852,-60.4388,81.81,25,39,6.64
252,Kerema,PG,2022-02-02 03:04:17,-7.9631,145.7785,79.23,78,100,10.6
253,Luderitz,NA,2022-02-02 03:04:17,-26.6481,15.1594,63.5,92,59,8.16
254,Vagay,RU,2022-02-02 03:04:18,57.9375,69.0217,12.18,94,100,7.05
255,Paamiut,GL,2022-02-02 03:04:18,61.994,-49.6678,1.33,87,100,8.72
256,Elban,RU,2022-02-02 03:04:18,50.1018,136.5094,2.32,90,99,5.48
257,Zhanaozen,KZ,2022-02-02 03:04:19,43.3,52.8,35.11,78,6,8.08
258,Kenai,US,2022-02-02 03:04:19,60.5544,-151.2583,21.15,91,100,25.32
259,Cerfontaine,BE,2022-02-02 03:04:19,50.17,4.4115,47.16,92,75,11.01
260,Inverell,AU,2022-02-02 03:04:20,-29.7833,151.1167,80.67,84,100,5.99
261,Mapiripan,CO,2022-02-02 03:04:20,2.8892,-72.1256,78.12,39,65,4.38
262,Upington,ZA,2022-02-02 03:04:20,-28.4478,21.2561,70.47,87,98,4.45
263,Boca Do Acre,BR,2022-02-02 03:04:21,-8.7522,-67.3978,73.36,98,100,1.39
264,Constitucion,CL,2022-02-02 03:00:28,-35.3333,-72.4167,56.89,93,13,3.96
265,Kita,ML,2022-02-02 03:04:21,13.0349,-9.4895,69.6,15,3,5.97
266,Aswan,EG,2022-02-02 03:04:21,24.0934,32.907,52.9,66,0,5.61
267,Naze,JP,2022-02-02 03:04:22,28.3667,129.4833,55.22,73,100,13.15
268,Katobu,ID,2022-02-02 03:04:22,-4.9408,122.5276,88.83,55,95,4.03
269,Zhumadian,CN,2022-02-02 03:04:23,32.9794,114.0294,39.87,36,100,2.42
270,Tessalit,ML,2022-02-02 03:04:23,20.1986,1.0114,59.45,22,90,9.53
271,Manokwari,ID,2022-02-02 03:04:23,-0.8667,134.0833,82.31,71,100,5.66
272,Bandarbeyla,SO,2022-02-02 03:04:24,9.4942,50.8122,74.75,77,13,15.35
273,Ocara,BR,2022-02-02 03:04:24,-4.4908,-38.5967,72.54,94,65,3.38
274,Tshikapa,CD,2022-02-02 03:04:24,-6.4167,20.8,69.84,97,100,2.64
275,Marion,US,2022-02-02 03:04:25,39.7684,-86.1555,52.21,55,100,11.5
276,Saint-Philippe,RE,2022-02-02 03:05:25,-21.3585,55.7679,81.95,94,100,23.85
277,Paciran,ID,2022-02-02 03:05:25,-6.8767,112.3761,84.49,69,36,4.74
278,Hofn,IS,2022-02-02 03:05:26,64.2539,-15.2082,26.42,69,54,8.23
279,Nisia Floresta,BR,2022-02-02 03:05:26,-6.0911,-35.2086,77.81,84,25,4.74
280,Zverinogolovskoye,RU,2022-02-02 03:05:26,54.4586,64.8542,16.2,84,93,14.16
281,Pitea,SE,2022-02-02 03:05:27,65.3172,21.4794,12.29,94,100,8.23
282,Sola,VU,2022-02-02 03:05:27,-13.8833,167.55,80.37,79,100,12.68
283,Atocha,BO,2022-02-02 03:05:27,-20.9333,-66.2333,44.92,85,43,5.06
284,Peleduy,RU,2022-02-02 03:05:28,59.6289,112.7406,-1.84,94,99,5.3
285,Artyom,AZ,2022-02-02 03:05:28,40.4723,50.333,30.34,80,32,4.72
286,Beloha,MG,2022-02-02 03:05:28,-25.1667,45.05,69.71,87,0,10.25
287,Banjar,ID,2022-02-02 03:04:52,-8.19,114.9675,85.91,61,35,3.65
288,Bugo,PH,2022-02-02 03:05:29,8.5083,124.7594,80.92,80,100,5.41
289,Werda,BW,2022-02-02 03:05:29,-25.2667,23.2833,73.2,63,87,10.78
290,Kutum,SD,2022-02-02 03:05:29,14.2,24.6667,53.78,25,0,6.08
291,Carthage,TN,2022-02-02 03:05:30,36.8611,10.3316,50.47,71,4,17.94
292,Lyuban,BY,2022-02-02 03:05:30,52.7985,28.0048,23.02,95,99,10.36
293,Coahuayana,MX,2022-02-02 03:05:30,18.7333,-103.6833,69.06,70,0,2.1
294,Gawler,AU,2022-02-02 03:05:31,-34.6,138.7333,74.46,39,0,11.41
